word,data/austen-emma.txt,data/austen-persuasion.txt,data/austen-sense.txt
prejudices,0.3333333333333333,0.3333333333333333,0.3333333333333333
preparation,0.42857142857142855,0.21428571428571427,0.35714285714285715
preparations,0.5,0.3333333333333333,0.16666666666666666
prepare,0.2857142857142857,0.2857142857142857,0.42857142857142855
prepared,0.5,0.1,0.4
preparing,0.3333333333333333,0.3333333333333333,0.3333333333333333
prepossession,0.25,0.25,0.5
prescribed,0.25,0.25,0.5
presence,0.17391304347826086,0.17391304347826086,0.6521739130434783
presented,0.21428571428571427,0.42857142857142855,0.35714285714285715
preserve,0.375,0.375,0.25
presume,0.7857142857142857,0.14285714285714285,0.07142857142857142
presumed,0.625,0.25,0.125
pretence,0.6923076923076923,0.15384615384615385,0.15384615384615385
pretended,0.25,0.5,0.25
pretensions,0.3333333333333333,0.3333333333333333,0.3333333333333333
prevail,0.4,0.1,0.5
prevailed,0.42857142857142855,0.21428571428571427,0.35714285714285715
prevented,0.3103448275862069,0.1724137931034483,0.5172413793103449
previous,0.6,0.2,0.2
previously,0.125,0.5,0.375
principal,0.42105263157894735,0.3684210526315789,0.21052631578947367
principally,0.4166666666666667,0.3333333333333333,0.25
principle,0.29411764705882354,0.4117647058823529,0.29411764705882354
principles,0.4,0.2,0.4
private,0.3870967741935484,0.1935483870967742,0.41935483870967744
privilege,0.45454545454545453,0.09090909090909091,0.45454545454545453
probabilities,0.3333333333333333,0.16666666666666666,0.5
probability,0.4444444444444444,0.1111111111111111,0.4444444444444444
probable,0.22727272727272727,0.2727272727272727,0.5
proceed,0.5,0.25,0.25
proceeded,0.46153846153846156,0.23076923076923078,0.3076923076923077
procure,0.36363636363636365,0.2727272727272727,0.36363636363636365
procuring,0.5,0.1,0.4
produce,0.45454545454545453,0.18181818181818182,0.36363636363636365
produced,0.28,0.2,0.52
producing,0.6666666666666666,0.16666666666666666,0.16666666666666666
professed,0.6,0.3,0.1
profession,0.10344827586206896,0.5172413793103449,0.3793103448275862
professions,0.46153846153846156,0.23076923076923078,0.3076923076923077
promise,0.4074074074074074,0.18518518518518517,0.4074074074074074
promised,0.4146341463414634,0.2926829268292683,0.2926829268292683
promises,0.5,0.25,0.25
promising,0.4166666666666667,0.16666666666666666,0.4166666666666667
promote,0.36363636363636365,0.18181818181818182,0.45454545454545453
promoted,0.5714285714285714,0.14285714285714285,0.2857142857142857
pronounced,0.3333333333333333,0.2222222222222222,0.4444444444444444
proportion,0.4444444444444444,0.1111111111111111,0.4444444444444444
proposal,0.5555555555555556,0.1111111111111111,0.3333333333333333
proposals,0.5,0.3333333333333333,0.16666666666666666
propose,0.5,0.4,0.1
proposed,0.56,0.28,0.16
propriety,0.2692307692307692,0.19230769230769232,0.5384615384615384
prosperity,0.3,0.5,0.2
prosperous,0.625,0.25,0.125
protection,0.2857142857142857,0.2857142857142857,0.42857142857142855
protested,0.3333333333333333,0.5,0.16666666666666666
provide,0.6666666666666666,0.16666666666666666,0.16666666666666666
provided,0.3333333333333333,0.2,0.4666666666666667
provocation,0.25,0.25,0.5
provoke,0.14285714285714285,0.2857142857142857,0.5714285714285714
provoked,0.5,0.16666666666666666,0.3333333333333333
prudence,0.35714285714285715,0.07142857142857142,0.5714285714285714
purchase,0.6,0.1,0.3
purpose,0.48936170212765956,0.1702127659574468,0.3404255319148936
pursue,0.3333333333333333,0.3333333333333333,0.3333333333333333
pursued,0.14285714285714285,0.42857142857142855,0.42857142857142855
pursuits,0.14285714285714285,0.42857142857142855,0.42857142857142855
qualified,0.4,0.4,0.2
quarrelled,0.6666666666666666,0.16666666666666666,0.16666666666666666
quarrelling,0.6,0.2,0.2
quarter,0.6,0.2,0.2
queen,0.3333333333333333,0.3333333333333333,0.3333333333333333
question,0.4431818181818182,0.25,0.3068181818181818
questions,0.6,0.15,0.25
quicker,0.16666666666666666,0.5,0.3333333333333333
quiet,0.43859649122807015,0.2631578947368421,0.2982456140350877
quietly,0.4090909090909091,0.4090909090909091,0.18181818181818182
quite,0.5741127348643006,0.23382045929018788,0.19206680584551147
quitted,0.2903225806451613,0.1935483870967742,0.5161290322580645
quitting,0.3333333333333333,0.4,0.26666666666666666
rained,0.16666666666666666,0.3333333333333333,0.5
raise,0.4583333333333333,0.08333333333333333,0.4583333333333333
raised,0.2608695652173913,0.21739130434782608,0.5217391304347826
raising,0.375,0.375,0.25
rapidity,0.3,0.3,0.4
raptures,0.4166666666666667,0.16666666666666666,0.4166666666666667
rational,0.6,0.23333333333333334,0.16666666666666666
rationally,0.4,0.2,0.4
reached,0.2909090909090909,0.2909090909090909,0.41818181818181815
reaching,0.5714285714285714,0.2857142857142857,0.14285714285714285
readily,0.30434782608695654,0.2608695652173913,0.43478260869565216
readiness,0.16666666666666666,0.25,0.5833333333333334
reading,0.5,0.26666666666666666,0.23333333333333334
reality,0.3333333333333333,0.16666666666666666,0.5
reason,0.3508771929824561,0.18421052631578946,0.4649122807017544
reasonable,0.5405405405405406,0.13513513513513514,0.32432432432432434
reasonably,0.08333333333333333,0.08333333333333333,0.8333333333333334
reasons,0.25,0.125,0.625
receipt,0.25,0.25,0.5
receive,0.29411764705882354,0.23529411764705882,0.47058823529411764
received,0.3302752293577982,0.3119266055045872,0.3577981651376147
receiving,0.42424242424242425,0.18181818181818182,0.3939393939393939
reception,0.3076923076923077,0.23076923076923078,0.46153846153846156
