,data/austen-emma.txt,data/austen-persuasion.txt,data/austen-sense.txt
archness,,,1.0
ardent,2.0,1.0,2.0
ardour,,3.0,3.0
are,452.0,146.0,232.0
areas,,,1.0
arei,1.0,,
areyou,,,1.0
argue,,,1.0
argued,1.0,,
arguing,,1.0,
argument,4.0,2.0,3.0
argumentative,1.0,,
arguments,2.0,,4.0
aright,1.0,,
arise,7.0,1.0,6.0
ariseand,,,1.0
arisen,2.0,,2.0
arises,1.0,,
arising,,2.0,
aristocratic,,1.0,
arm,12.0,8.0,2.0
armactually,1.0,,
armed,,1.0,
armfor,,,1.0
arminarm,1.0,1.0,
armmr,1.0,,
arms,2.0,8.0,4.0
army,,,1.0
arose,4.0,4.0,9.0
around,13.0,12.0,9.0
arrange,3.0,2.0,
arranged,11.0,6.0,7.0
arrangedsometimes,1.0,,
arrangement,16.0,5.0,6.0
arrangements,2.0,6.0,3.0
arranger,,1.0,
arranging,1.0,1.0,1.0
arrear,1.0,,
arrival,13.0,9.0,35.0
arrive,5.0,4.0,1.0
arrived,17.0,9.0,19.0
arrivedmrs,1.0,,
arrives,,,1.0
arriving,5.0,3.0,2.0
arrogance,3.0,,
arrow,1.0,,
arrowroot,3.0,,
art,2.0,3.0,2.0
artful,,2.0,2.0
arthurhow,1.0,,
article,5.0,4.0,2.0
articles,1.0,2.0,
articulate,1.0,,1.0
articulation,,,1.0
artifice,2.0,,
artificial,,4.0,1.0
artificiali,1.0,,
artist,2.0,1.0,
artless,4.0,,1.0
artlessly,1.0,,
artlessness,1.0,,1.0
as,1431.0,808.0,1213.0
ascended,,1.0,2.0
ascending,,1.0,1.0
ascendingshe,1.0,,
ascent,,2.0,
ascertain,3.0,4.0,2.0
ascertained,,3.0,2.0
ascertaining,,2.0,
ashamed,27.0,14.0,9.0
ashooting,,1.0,
ashore,,2.0,
aside,4.0,2.0,5.0
asif,,1.0,
ask,42.0,10.0,36.0
asked,38.0,26.0,22.0
asking,10.0,4.0,6.0
askis,1.0,,
asks,3.0,,
asleep,2.0,,3.0
asp,,6.0,
asparagus,3.0,,
aspect,1.0,1.0,2.0
asperity,1.0,,
aspersion,1.0,,
aspired,1.0,,
aspiredmiss,1.0,,
assailed,1.0,,
assembled,4.0,1.0,2.0
assemblies,,,1.0
assent,2.0,,4.0
assentdo,1.0,,
assented,1.0,,2.0
assenting,,1.0,
assert,1.0,1.0,
asserted,2.0,2.0,1.0
assertion,1.0,2.0,8.0
assertions,,,1.0
